Date,ACT_Hosp,NSW_Hosp,NT_Hosp,Qld_Hosp,SA_Hosp,Tas_Hosp,Vic_Hosp,WA_Hosp,ACT_ICU,NSW_ICU,NT_ICU,Qld_ICU,SA_ICU,Tas_ICU,Vic_ICU,WA_ICU
7/27/2009,5,189,22,78,29,8,31,16,1,46,8,21,5,1,11,10
7/28/2009,10,189,24,78,29,8,26,19,3,46,6,21,5,0,13,9
7/29/2009,8,189,23,92,49,8,26,27,2,43,4,21,7,0,13,7
7/30/2009,4,189,24,85,50,7,25,26,2,47,5,28,8,2,11,7
7/31/2009,5,189,26,81,52,7,25,28,2,47,5,25,10,2,10,7
8/1/2009,5,189,26,83,52,6,25,23,2,47,5,23,10,1,10,9
8/2/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/3/2009,5,189,30,83,58,7,25,23,2,47,5,19,12,1,10,9
8/4/2009,3,189,26,94,51,7,26,23,2,51,5,25,12,1,10,9
8/5/2009,2,189,26,95,36,10,26,25,2,51,5,28,11,2,10,12
8/6/2009,2,189,28,99,36,9,26,33,2,42,6,30,11,3,11,12
8/7/2009,1,189,28,99,47,9,25,28,0,42,4,30,11,3,11,12
8/8/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/9/2009,1,189,28,92,47,9,25,32,0,42,5,31,11,3,11,13
8/10/2009,1,189,28,93,52,6,27,32,0,37,9,28,8,2,12,13
8/11/2009,4,189,30,104,46,5,27,36,0,37,8,35,7,1,12,14
8/12/2009,6,189,29,103,45,7,19,43,0,37,7,37,9,4,8,11
8/13/2009,6,189,30,107,51,6,22,38,0,37,7,35,9,2,8,11
8/14/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/15/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/16/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/17/2009,0,189,24,102,57,6,22,40,0,26,6,29,9,2,9,13
8/18/2009,1,189,25,107,55,6,22,50,0,26,5,28,8,1,9,17
8/19/2009,0,189,22,106,64,7,22,50,0,28,5,30,10,1,9,17
8/20/2009,0,189,22,92,62,7,22,61,0,21,5,30,12,1,9,17
8/21/2009,0,189,17,92,54,7,22,75,0,24,5,29,14,0,9,17
8/22/2009,0,189,17,100,54,7,22,69,0,24,5,31,14,0,9,19
8/23/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/24/2009,1,189,15,100,54,8,22,69,0,24,8,31,13,0,9,19
8/25/2009,1,189,12,95,54,10,22,57,0,24,8,31,12,0,9,16
8/26/2009,1,189,8,89,50,9,22,67,0,24,3,28,11,0,9,16
8/27/2009,1,189,7,83,50,7,22,63,0,21,2,26,10,0,9,18
8/28/2009,1,189,6,82,52,7,22,58,0,21,2,24,10,0,9,17
8/29/2009,1,189,6,80,52,7,22,59,0,21,2,23,10,0,9,15
8/30/2009,1,189,6,80,52,7,22,59,0,21,2,23,10,0,9,15
8/31/2009,0,189,6,80,45,6,22,59,0,21,2,23,7,0,9,15
9/1/2009,0,189,7,77,42,6,22,48,0,21,2,19,5,0,9,15
9/2/2009,1,189,10,73,37,6,22,46,0,21,3,19,5,0,9,15
9/3/2009,0,189,8,74,31,6,22,53,0,21,3,21,6,0,9,15
9/4/2009,1,189,7,65,27,6,22,58,0,21,3,17,6,0,9,15
9/5/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/2009,1,189,7,63,27,6,22,54,0,21,3,16,6,0,9,14
9/7/2009,0,189,4,63,29,6,22,54,0,21,2,16,7,0,9,14
9/8/2009,0,189,4,57,25,6,22,41,0,21,2,14,7,0,9,10
9/9/2009,0,189,4,57,22,2,22,38,0,21,2,15,7,1,9,10
9/10/2009,0,189,4,54,23,2,22,41,0,21,2,14,9,1,9,8
9/11/2009,0,189,5,52,23,2,22,41,0,21,1,14,9,1,9,10
9/12/2009,0,189,5,35,23,2,22,40,0,21,1,15,9,1,9,11
9/13/2009,0,189,5,35,23,2,22,40,0,21,1,15,9,1,9,11
9/14/2009,1,189,5,49,23,2,22,40,0,21,1,14,9,1,9,11
9/15/2009,2,189,3,46,26,2,22,25,0,21,0,10,10,1,9,9
9/16/2009,0,189,3,44,26,0,22,23,0,21,0,9,10,0,9,10
9/17/2009,0,189,5,41,26,0,22,21,0,21,0,10,10,0,9,7
9/18/2009,0,189,6,38,26,0,22,22,0,21,0,9,10,0,9,7
9/19/2009,0,189,6,38,26,0,22,20,0,21,0,9,10,0,9,5
9/20/2009,0,189,6,38,26,0,22,20,0,21,0,9,10,0,9,5
9/21/2009,0,189,5,38,26,0,22,20,0,21,0,9,10,0,9,5
9/22/2009,0,189,5,39,26,0,22,16,0,21,0,9,10,0,9,5
9/23/2009,0,189,5,36,25,0,22,17,0,21,0,9,10,0,9,4
9/24/2009,0,189,6,36,21,0,22,16,0,21,1,9,10,0,9,4
