Sera	Anti-VN1203	Anti-IND 5	Anti-CDC357	Anti-QH1A	Anti-Anhui1	Anti-HN101
VN/1203/04	160	160	40	40	40	40
IDN/5/05	-40	640	640	40	80	40
IDN/304/06	40	1280	1280	80	160	40
DK/HN/101/04	80	640	160	320	40	320
BHG/QH/1A/05	80	640	320	160	640	320
DK/Lao/3295/06	40	320	80	40	320	80
MusDK/VNM/1455/06	40	1280	160	320	-40	160
MusDK/VN/33/07	40	40	-40	-40	-40	-40
MusDK/VN/56/07	-40	640	40	40	320	80
CK/Kuwait/2/07	-40	640	160	320	-40	80
Peregrine Falcon/HK/D0028/04	40	640	40	40	160	40
Rosybill Pochard/HK/821/02	160	160	80	320	-40	160
Chinese Pond Heron/HK/18/04	80	40	-40	160	-40	80
Peregrine Falcon/HK/5211/06	320	320	320	640	-40	320
Peregrine Falcon/HK/1143/07	80	640	640	160	-40	320
Common Magpie/HK/5052/07	80	320	320	160	-40	160
Scaly Brested Munia/HK/45/07	80	160	80	40	640	40
Japanese White Eye/HK/1038/06	40	640	40	320	1280	160
House Crow/HK/719/07	40	640	80	80	640	80
DK/FJ/1734/05	-40	320	80	40	640	80
CK/GY/3570/05	80	320	40	640	320	1280
DK/HN/795/02 (Pre Indonesia)	80	2560	640	640	40	640
CK/YN/1251/03 (Pre Vietnam)	80	160	-40	80	-40	80
