Accession Number,Sample Date,Field,Sample Region,Sample Type,H9,NDV,Market,Day,Month,Year
291,10/04/1999,SF2,HK,C,1,1,4,10,4,1999
292,10/04/1999,SF3,HK,C,1,1,4,10,4,1999
293,10/04/1999,SF4,HK,C,1,1,4,10,4,1999
294,10/04/1999,SF5,HK,C,1,1,4,10,4,1999
295,10/04/1999,SF6,HK,C,1,1,4,10,4,1999
296,10/04/1999,SF7,HK,C,0,0,4,10,4,1999
297,10/04/1999,SF8,HK,C,0,0,4,10,4,1999
298,10/04/1999,SF9,HK,C,1,1,4,10,4,1999
299,10/04/1999,SF10,HK,C,1,0,4,10,4,1999
300,10/04/1999,SF11,HK,C,1,1,4,10,4,1999
301,10/04/1999,SF12,HK,C,1,1,4,10,4,1999
374,10/04/1999,SF85,HK,C,0,0,4,10,4,1999
375,10/04/1999,SF86,HK,C,1,1,4,10,4,1999
376,10/04/1999,SF87,HK,C,0,0,4,10,4,1999
377,10/04/1999,SF88,HK,C,0,0,4,10,4,1999
388,10/04/1999,SF99,HK,C+Sc,0,0,4,10,4,1999
389,10/04/1999,SF100,HK,C+Sc,0,0,4,10,4,1999
390,10/04/1999,SF101,HK,C+Sc,0,0,4,10,4,1999
391,10/04/1999,SF102,HK,C+Sc,0,0,4,10,4,1999
392,10/04/1999,SF103,HK,C+Sc,0,0,4,10,4,1999
393,10/04/1999,SF104,HK,C+Sc,0,0,4,10,4,1999
402,10/04/1999,SF113,HK,C,0,0,4,10,4,1999
403,10/04/1999,SF114,HK,C,0,0,4,10,4,1999
404,10/04/1999,SF115,HK,C,0,0,4,10,4,1999
405,10/04/1999,SF116,HK,C,0,0,4,10,4,1999
113,19/04/1999,AP2,HK,C,1,0,1,19,4,1999
115,19/04/1999,AP4,HK,C,0,0,1,19,4,1999
116,19/04/1999,AP5,HK,C,0,0,1,19,4,1999
117,19/04/1999,AP6,HK,C+SC,0,0,1,19,4,1999
118,19/04/1999,AP7,HK,C,0,0,1,19,4,1999
119,19/04/1999,AP8,HK,C,0,0,1,19,4,1999
120,19/04/1999,AP9,HK,C,0,0,1,19,4,1999
121,19/04/1999,AP10,HK,C,0,0,1,19,4,1999
123,19/04/1999,AP12,HK,C,0,0,1,19,4,1999
125,19/04/1999,AP14,HK,C,0,0,1,19,4,1999
126,19/04/1999,AP15,HK,C,0,0,1,19,4,1999
130,19/04/1999,AP19,HK,C,0,0,1,19,4,1999
131,19/04/1999,AP20,HK,C,0,0,1,19,4,1999
138,19/04/1999,AP27,HK,C,0,0,1,19,4,1999
140,19/04/1999,AP29,HK,C,0,0,1,19,4,1999
142,19/04/1999,AP31,HK,C,0,0,1,19,4,1999
143,19/04/1999,AP32,HK,C,0,0,1,19,4,1999
144,19/04/1999,AP33,HK,C,0,0,1,19,4,1999
145,19/04/1999,AP34,HK,C,0,0,1,19,4,1999
146,19/04/1999,AP35,HK,C+GF+Sc,0,0,1,19,4,1999
147,19/04/1999,AP36,HK,C,0,0,1,19,4,1999
148,19/04/1999,AP37,HK,C,0,0,1,19,4,1999
77,20/04/1999,SSP6,KOW,C,0,0,5,20,4,1999
84,20/04/1999,SSP13,KOW,C,0,0,5,20,4,1999
93,20/04/1999,SSP22,KOW,C,0,0,5,20,4,1999
94,20/04/1999,SSP23,KOW,C,0,0,5,20,4,1999
95,20/04/1999,SSP24,KOW,C,0,0,5,20,4,1999
96,20/04/1999,SSP25,KOW,C,0,0,5,20,4,1999
97,20/04/1999,SSP26,KOW,C,0,0,5,20,4,1999
101,20/04/1999,SSP30,KOW,C,0,0,5,20,4,1999
103,20/04/1999,SSP32,KOW,C,0,1,5,20,4,1999
106,20/04/1999,SSP35,KOW,C,0,0,5,20,4,1999
108,20/04/1999,SSP37,KOW,C,1,1,5,20,4,1999
109,20/04/1999,SSP38,KOW,C,0,0,5,20,4,1999
110,20/04/1999,SSP39,KOW,C,0,0,5,20,4,1999
111,20/04/1999,SSP40,KOW,C,0,0,5,20,4,1999
213,20/04/1999,NT1,KOW,C,0,0,3,20,4,1999
215,20/04/1999,NT3,KOW,C,0,0,3,20,4,1999
216,20/04/1999,NT4,KOW,C,0,0,3,20,4,1999
217,20/04/1999,NT5,KOW,C,0,0,3,20,4,1999
219,20/04/1999,NT7,KOW,C,0,0,3,20,4,1999
221,20/04/1999,NT9,KOW,C,0,0,3,20,4,1999
222,20/04/1999,NT10,KOW,C,0,0,3,20,4,1999
223,20/04/1999,NT11,KOW,C,0,0,3,20,4,1999
226,20/04/1999,NT14,KOW,C,0,0,3,20,4,1999
227,20/04/1999,NT15,KOW,C+Sc,0,0,3,20,4,1999
228,20/04/1999,NT16,KOW,C,1,1,3,20,4,1999
229,20/04/1999,NT17,KOW,C,0,0,3,20,4,1999
230,20/04/1999,NT18,KOW,C,0,0,3,20,4,1999
231,20/04/1999,NT19,KOW,C,0,0,3,20,4,1999
232,20/04/1999,NT20,KOW,C,0,0,3,20,4,1999
233,20/04/1999,NT21,KOW,C,0,0,3,20,4,1999
235,20/04/1999,NT23,KOW,C,0,0,3,20,4,1999
236,20/04/1999,NT24,KOW,C,0,0,3,20,4,1999
239,20/04/1999,NT27,KOW,C,0,0,3,20,4,1999
244,20/04/1999,NT32,KOW,C,0,0,3,20,4,1999
247,20/04/1999,NT35,KOW,C,0,0,3,20,4,1999
249,20/04/1999,NT37,KOW,C,0,0,3,20,4,1999
250,20/04/1999,NT38,KOW,C,0,0,3,20,4,1999
251,20/04/1999,NT39,KOW,C,0,0,3,20,4,1999
252,20/04/1999,NT40,KOW,C,0,0,3,20,4,1999
253,20/04/1999,NT41,KOW,C,0,0,3,20,4,1999
254,20/04/1999,NT42,KOW,C,0,0,3,20,4,1999
255,20/04/1999,NT43,KOW,C,0,0,3,20,4,1999
257,20/04/1999,NT45,KOW,C,0,0,3,20,4,1999
259,20/04/1999,NT47,KOW,C,0,0,3,20,4,1999
260,20/04/1999,NT48,KOW,C,0,0,3,20,4,1999
262,20/04/1999,NT50,KOW,C,1,0,3,20,4,1999
652,20/04/1999,FY2,KOW,C,0,1,2,20,4,1999
654,20/04/1999,FY4,KOW,C,0,0,2,20,4,1999
657,20/04/1999,FY7,KOW,C,0,0,2,20,4,1999
658,20/04/1999,FY8,KOW,C,0,0,2,20,4,1999
659,20/04/1999,FY9,KOW,C,0,1,2,20,4,1999
660,20/04/1999,FY10,KOW,C,0,0,2,20,4,1999
661,20/04/1999,FY11,KOW,C,0,1,2,20,4,1999
664,20/04/1999,FY14,KOW,C,0,0,2,20,4,1999
665,20/04/1999,FY15,KOW,C,0,0,2,20,4,1999
666,20/04/1999,FY16,KOW,C,1,1,2,20,4,1999
667,20/04/1999,FY17,KOW,C,0,0,2,20,4,1999
668,20/04/1999,FY18,KOW,C,0,0,2,20,4,1999
669,20/04/1999,FY19,KOW,C,1,0,2,20,4,1999
670,20/04/1999,FY20,KOW,C,1,0,2,20,4,1999
671,20/04/1999,FY21,KOW,C,0,0,2,20,4,1999
672,20/04/1999,FY22,KOW,C,1,1,2,20,4,1999
673,20/04/1999,FY23,KOW,C,0,0,2,20,4,1999
675,20/04/1999,FY25,KOW,C,0,0,2,20,4,1999
676,20/04/1999,FY26,KOW,C,0,0,2,20,4,1999
677,20/04/1999,FY27,KOW,C,0,0,2,20,4,1999
678,20/04/1999,FY28,KOW,C,0,0,2,20,4,1999
679,20/04/1999,FY29,KOW,C,0,0,2,20,4,1999
680,20/04/1999,FY30,KOW,C,0,0,2,20,4,1999
681,20/04/1999,FY31,KOW,C,0,0,2,20,4,1999
682,20/04/1999,FY32,KOW,C,0,0,2,20,4,1999
683,20/04/1999,FY33,KOW,C,0,0,2,20,4,1999
684,20/04/1999,FY34,KOW,C,0,0,2,20,4,1999
685,20/04/1999,FY35,KOW,C,0,0,2,20,4,1999
686,20/04/1999,FY36,KOW,C,0,0,2,20,4,1999
687,20/04/1999,FY37,KOW,C,0,1,2,20,4,1999
688,20/04/1999,FY38,KOW,C,0,0,2,20,4,1999
689,20/04/1999,FY39,KOW,C,0,0,2,20,4,1999
738,24/04/1999,YU1,NEWT,C,0,0,8,24,4,1999
741,24/04/1999,YU4,NEWT,C,0,0,8,24,4,1999
742,24/04/1999,YU5,NEWT,C,0,0,8,24,4,1999
743,24/04/1999,YU6,NEWT,C,0,0,8,24,4,1999
744,24/04/1999,YU7,NEWT,C,0,0,8,24,4,1999
745,24/04/1999,YU8,NEWT,C,0,0,8,24,4,1999
746,24/04/1999,YU9,NEWT,C,0,1,8,24,4,1999
749,24/04/1999,YU12,NEWT,C,0,0,8,24,4,1999
750,24/04/1999,YU13,NEWT,C,0,0,8,24,4,1999
751,24/04/1999,YU14,NEWT,C,0,0,8,24,4,1999
752,24/04/1999,YU15,NEWT,C,0,0,8,24,4,1999
753,24/04/1999,YU16,NEWT,C,0,0,8,24,4,1999
756,24/04/1999,YU19,NEWT,C,0,0,8,24,4,1999
757,24/04/1999,YU20,NEWT,C,0,0,8,24,4,1999
766,24/04/1999,YU29,NEWT,C,0,0,8,24,4,1999
767,24/04/1999,YU30,NEWT,C,0,0,8,24,4,1999
769,24/04/1999,YU32,NEWT,C,0,0,8,24,4,1999
770,24/04/1999,YU33,NEWT,C,0,0,8,24,4,1999
772,24/04/1999,YU35,NEWT,C,0,0,8,24,4,1999
773,24/04/1999,YU36,NEWT,C,0,0,8,24,4,1999
866,24/04/1999,TP1,NEWT,C,0,0,6,24,4,1999
867,24/04/1999,TP2,NEWT,C,0,0,6,24,4,1999
868,24/04/1999,TP3,NEWT,C,0,0,6,24,4,1999
869,24/04/1999,TP4,NEWT,C,0,0,6,24,4,1999
870,24/04/1999,TP5,NEWT,C,0,0,6,24,4,1999
872,24/04/1999,TP7,NEWT,C,0,0,6,24,4,1999
874,24/04/1999,TP9,NEWT,C,0,0,6,24,4,1999
876,24/04/1999,TP11,NEWT,C,1,1,6,24,4,1999
877,24/04/1999,TP12,NEWT,C,0,0,6,24,4,1999
