Site	Date	Temp	Mosquitoes_Collected	No_Traps	Ave_Per_trap	Days360_01_11_04
Luk_Keng	24/11/2004	25	3	3	1	323
Luk_Keng	29/11/2004	20.4	0	3	0	328
Luk_Keng	20/12/2004	19	10	2	5	349
Luk_Keng	19/01/2005	19	4	3	1.3	378
Luk_Keng	22/02/2005	8.8	0	3	0	411
Luk_Keng	22/03/2005	20.6	32	3	10.7	441
Luk_Keng	22/04/2005	25	23	3	7.7	471
Luk_Keng	27/05/2005	25.7	1871	3	623.7	506
Luk_Keng	16/06/2005	26.4	254	2	127	525
Luk_Keng	06/07/2005	28.9	503	2	251.5	545
Luk_Keng	27/07/2005	28.8	386	2	193	566
Luk_Keng	17/08/2005	26.7	59	2	29.5	586
Luk_Keng	07/09/2005	28.9	292	3	97.3	606
Luk_Keng	29/09/2005	27.4	606	3	202	628
Luk_Keng	19/10/2005	26.5	376	3	125.3	648
Tam_Kon_chau	22/11/2004	21	128	2	64	321
Tam_Kon_chau	21/02/2005	8	0	3	0	410
Tam_Kon_chau	22/03/2005	22.3	381	3	127	441
Tam_Kon_chau	21/04/2005	25.7	8	3	2.7	470
Tam_Kon_chau	20/05/2005	25.8	59	3	19.7	499
Tam_Kon_chau	09/06/2005	26.5	1003	2	501.5	518
Tam_Kon_chau	28/06/2005	30	555	2	277.5	537
Tam_Kon_chau	20/07/2005	32	427	2	213.5	559
Tam_Kon_chau	10/08/2005	28.2	508	2	254	579
Tam_Kon_chau	01/09/2005	30	42	2	21	600
Tam_Kon_chau	21/09/2005	28.8	326	3	108.7	620
Tam_Kon_chau	13/10/2005	27.2	446	3	148.7	642
Pak_Mong	29/11/2004	22.3	0	3	0	328
Pak_Mong	21/12/2004	21.5	0	3	0	350
Pak_Mong	19/01/2005	17	3	2	1.5	378
Pak_Mong	21/02/2005	10	0	3	0	410
Pak_Mong	22/03/2005	22.5	0	3	0	441
Pak_Mong	19/04/2005	24.9	0	3	0	468
Pak_Mong	13/05/2005	28.5	4	3	1.3	492
Pak_Mong	02/06/2005	30.2	29	3	9.7	511
Pak_Mong	22/06/2005	27.1	41	3	13.7	531
Pak_Mong	13/07/2005	30.2	7	3	2.3	552
Pak_Mong	03/08/2005	30.8	7	3	2.3	572
Pak_Mong	24/08/2005	28.2	42	3	14	593
Pak_Mong	15/09/2005	32	21	3	7	614
Pak_Mong	06/10/2005	28	12	3	4	635
Pak_Mong	27/10/2005	28.3	10	3	3.3	656
