"","ind_id","hh_id","hh_index","Match1","Match2","Match3","Match4","Match","Source1","Source2","Source3","Source4","Source"
"1","S090001-0","90001","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"2","S090001-1","90001","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"3","S090002-0","90002","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"4","S090002-1","90002","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"5","S090002-2","90002","3","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"6","S090002-3","90002","4","FALSE","TRUE","FALSE","FALSE","TRUE","-1","1","-1","-1","1"
"7","S090003-0","90003","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"8","S090003-1","90003","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"9","S090003-2","90003","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"10","S090004-0","90004","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"11","S090004-1","90004","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"12","S090004-2","90004","3","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"13","S090004-3","90004","4","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"14","S090005-0","90005","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"15","S090005-1","90005","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"16","S090005-2","90005","3","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"17","S090005-3","90005","4","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"18","S090005-4","90005","5","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"19","S090006-0","90006","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"20","S090007-0","90007","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"21","S090007-1","90007","2","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"22","S090007-2","90007","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"23","S090008-0","90008","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"24","S090008-1","90008","2","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"25","S090008-2","90008","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"26","S090008-3","90008","4","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"27","S090008-4","90008","5","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"28","S090009-0","90009","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"29","S090010-0","90010","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"30","S090010-1","90010","2","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"31","S090010-2","90010","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"32","S090010-3","90010","4","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"33","S090011-0","90011","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"34","S090011-1","90011","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"35","S090011-2","90011","3","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"36","S090011-3","90011","4","FALSE","FALSE","FALSE","TRUE","TRUE","-1","-1","-1","1","1"
"37","S090012-0","90012","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"38","S090013-0","90013","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"39","S090014-0","90014","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"40","S090015-0","90015","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"41","S090015-1","90015","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"42","S090015-2","90015","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"43","S090016-0","90016","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"44","S090016-1","90016","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"45","S090016-2","90016","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"46","S090016-3","90016","4","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"47","S090017-0","90017","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"48","S090017-1","90017","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"49","S090017-2","90017","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"50","S090018-0","90018","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"51","S090018-1","90018","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"52","S090019-0","90019","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"53","S090019-1","90019","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"54","S090019-2","90019","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"55","S090020-0","90020","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"56","S090021-0","90021","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"57","S090021-1","90021","2","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"58","S090021-2","90021","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"59","S090021-3","90021","4","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"60","S090022-0","90022","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"61","S090022-1","90022","2","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"62","S090022-2","90022","3","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"63","S090023-0","90023","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"64","S090023-1","90023","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"65","S090024-0","90024","1","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"66","S090024-1","90024","2","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"67","S090024-2","90024","3","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"68","S090024-3","90024","4","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"69","S090024-4","90024","5","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"70","S090024-5","90024","6","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"71","S090024-6","90024","7","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"72","S090024-7","90024","8","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"73","S090025-0","90025","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"74","S090025-1","90025","2","TRUE","FALSE","FALSE","FALSE","TRUE","1","-1","-1","-1","1"
"75","S090026-0","90026","1","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"76","S090026-1","90026","2","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
"77","S090026-2","90026","3","FALSE","FALSE","FALSE","FALSE","FALSE","-1","-1","-1","-1","-1"
